smiles,neg_log2_mic
CSc1c(F)cc2c(=O)c(C(=O)O)c3scc4n3c2c1OC4,2.321928094887362
COC1CCCC2C1=C(C(=O)O)N1C(=O)C(C(C)O)C21,1.0
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC(F)C3)c(F)cc2c1=O,5.058893689053568
Oc1cc(Br)c(Br)cc1Oc1ccc(Br)cc1Br,-3.643856189774725
COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,-5.0
CCON=C1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1(C)CN,-0.0
Cc1c(N2CC3CCC4CC4(N)C3C2)c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3F)c12,8.380821783940931
CNc1cc(F)cc2c1[nH]c1nc(CNC(=O)c3ocnc3C)nc(N3CCC(NC)C3)c12,-2.0
NCC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4cc(F)cc(F)c4)c3c2F)CCO1,1.3584539709124763
CCOC(=O)c1ccc(NC2CN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)C2)cc1,2.0
CC(O)C1C(=O)N2C(C(=O)O)=C(CN)SC12,-2.3645724322958563
CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1C,4.058893689053568
O=C(NCCN=Cc1cc(Cl)cc(Cl)c1O)c1ccccc1O,-0.6415460290875237
NC(C(=O)N1CCC2C1C(=O)N2S(=O)(=O)[O-])c1ccc(O)cc1,-3.0
Cc1c(NCc2nnc(-c3ccncc3)o2)c(=O)n(-c2ccccc2)n1C,-4.0
O=C(Nc1cncc(Cl)n1)c1ccc2c(c1)OCCCO2,-4.643856189774724
COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)C(C)(C)O6)(CC3)CO4)c2n1,-1.0
CS(=O)(=O)OC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,2.0
Cc1ccc(OCc2ccccc2-c2nnc(-c3cccc(Br)c3)o2)cc1,-4.643856189774724
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc4c(c3)CCO4)C2SC1,-4.643856189774724
CCCCc1nc(Cl)c(C2NC(=O)NC(C)=C2C(=O)OCC)n1S(=O)(=O)c1ccc(C(F)(F)F)cc1,-5.0
CCCCCCCCOC1C(N)CC(N)C(OC2OC(CN)C(O)C(OCCCCCCCC)C2N)C1O,-1.0
CCn1cc(C(=O)O)c(=O)c2cc(Br)c(N3CCN(C)CC3)cc21,1.3584539709124763
Cn1ccnc1SCC(O)CN1C(=O)C(=NNc2ccc(Cl)cc2)c2ccccc21,-5.0
Cc1ncc([N+](=O)[O-])n1CC(C)OC(=O)C=Cc1ccc(N(C)C)cc1,-2.643856189774725
Cc1cc(Cl)c(N2C(=O)c3nccnc3C2=O)c(Cl)c1,-2.786596361890807
O=C(c1cccc(Cl)c1)c1c(O)n(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)c1=O,-5.0
Cc1nc2c(=O)n(C3CC3)c3c(Cl)c(N4CCC(CN)C4)c(F)cc3c2o1,1.0
O=C(O)c1c(=O)c2cc(F)c(N3CCNCC3)cc2n2c1sc1ccccc12,2.321928094887362
CCOC(=O)C1CCC(c2ccc(C)c(C)c2)=NO1,-4.321928094887363
CCOC(=O)c1cn([CH-]c2ccccc2Cl)c2cc(C(C#N)C(=O)OCC)c(F)cc2c1=O,2.0
CCC(=S)NCC1CN(c2ccc(-c3nnc4ncccn34)cc2)C(=O)O1,-4.0
O=C1c2cccc3c(NN=Cc4ccc(OC(F)(F)F)cc4)ccc(c23)C(=O)N1C(CO)CO,-5.0
COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)c(NC(=O)Cn4cc(-c5cccnc5)nn4)c3CCC12,-1.632268215499513
C=CCn1c(-c2cccs2)n[nH]c1=S,-3.584962500721156
CC(C)=CCc1cc(O)c(O)c(CC=C(C)C)c1C1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)C1O,-2.643856189774725
Cn1cc(CN2CCN(Cc3ccc(Cl)cc3Cl)CC2)c2cc(F)ccc21,-5.0
O=C1NC(=O)C(c2ccc(O)c([N+](=O)[O-])c2)=C1c1ccccc1,-4.643856189774724
O=C(NNC(=O)c1cc([N+](=O)[O-])c[nH]1)NC1CCCC1,-1.6438561897747246
Ic1ccc(-c2csc(NN=Cc3cccc4ccccc34)n2)cc1,-4.0
COc1ncccc1CNc1cccc(-n2c(C=Cc3ccc(C#N)cc3)nc3ccccc3c2=O)c1,-4.0
CCNc1cc(F)cc2c1[nH]c1ncc(-c3cncc(CN)c3)c(-n3ccc(C(F)(F)F)n3)c12,2.0
CCc1cc(Cc2cnc(N)nc2N)cc2c1N(C)CCC2C,-1.584962500721156
COc1cc2c(c(OC)c1C(C)=O)C(O)C(O)C(C)(C)O2,-2.035623909730721
COc1cc(CON=C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2CN)c([N+](=O)[O-])cc1OC,2.0
CC(NCCCCN)C1CCC2C3CCC4=CC(NCCCCN)CCC4(C)C3CCC12C,-3.321928094887362
CN(C)C(=O)N1CCCN(c2ccn3cc(-c4ccc(F)cc4)nc3n2)CC1,0.2175914350726268
O=C(Nc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1)c1cccc([N+](=O)[O-])c1,-4.0
Cc1cc(=O)oc2cc(OCc3ccc(Cn4cncn4)cc3)ccc12,-4.0
O=C(Nc1ccc(Br)cc1C(=O)O)c1cccc(Oc2ccccc2)c1,-1.584962500721156
CN(c1ccccc1)S(=O)(=O)c1ccc2nc(N)nc(N)c2c1,-4.643856189774724
O=S1(=O)c2ccc(cc2)Cn2cc[n+](c2)Cc2ccccc2C[n+]2ccn(c2)Cc2ccc1cc2,-4.906890595608519
CC=CC=CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.0
